Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "vvcc.brd" as of: 4/3/22 4:32 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.227,1.315,180
C2,Top,1.132,1.516,180
C3,Top,0.967,1.516,180
C4,Top,1.022,1.051,90
C5,Top,1.042,1.051,90
C6,Top,0.912,1.051,90
C7,Top,0.893,1.051,90
C8,Top,1.109,0.913,0
C9,Top,1.109,0.772,0
C10,Top,0.925,0.602,270
C11,Top,0.873,1.051,90
C12,Top,0.945,0.602,270
C13,Top,0.999,1.051,90
C14,Top,0.712,0.914,180
C15,Top,0.702,0.770,180
C16,Top,0.811,1.376,0
C17,Top,1.281,0.742,0
C19,Top,0.589,0.283,180
C20,Top,0.935,0.288,180
C21,Top,1.201,1.230,90
C22,Top,1.457,1.368,90
C23,Top,1.191,0.915,270
C24,Top,0.488,1.012,90
C25,Top,0.563,1.008,180
C26,Top,0.657,0.945,0
C27,Top,1.031,0.996,90
D1,Top,1.457,0.118,90
D2,Top,1.161,0.118,90
D3,Top,1.260,0.118,90
D4,Top,1.358,0.118,90
IC1,Top,1.352,1.363,90
IC2,Top,0.908,0.812,0
IC3,Top,1.078,1.732,90
IC4,Top,0.664,1.238,0
IC5,Top,1.368,1.033,180
IC6,Top,0.543,0.854,0
J1,Top,0.659,1.821,180
Q1,Top,0.755,0.158,0
R1,Top,0.942,1.039,90
R2,Top,0.967,1.039,90
R3,Top,0.730,0.998,0
R4,Top,0.896,0.602,90
R5,Top,0.823,0.600,90
R6,Top,0.799,0.600,90
R7,Top,1.197,0.803,90
R8,Top,1.171,0.803,270
R9,Top,1.500,1.906,270
R10,Top,1.242,0.695,180
R11,Top,1.368,1.230,90
R12,Top,1.457,0.217,90
R13,Top,1.280,0.217,90
R14,Top,1.181,0.217,90
R15,Top,1.358,0.217,90
