Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "vvcc.brd" as of: 4/2/22 11:12 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.227,1.315,180
C2,Top,1.132,1.516,180
C3,Top,0.967,1.516,180
C4,Top,1.038,0.772,90
C5,Top,1.058,0.772,90
C6,Top,0.932,0.772,90
C7,Top,0.912,0.772,90
C8,Top,1.129,0.646,0
C9,Top,1.129,0.504,0
C10,Top,0.945,0.335,270
C11,Top,0.893,0.772,90
C12,Top,0.965,0.335,270
C13,Top,1.015,0.772,90
C14,Top,0.732,0.646,180
C15,Top,0.722,0.502,180
C16,Top,0.846,1.305,0
C17,Top,1.257,0.656,270
C18,Top,1.461,0.599,270
C19,Top,0.836,0.036,0
C20,Top,1.347,0.049,90
C21,Top,1.201,1.230,90
C22,Top,1.457,1.368,90
C23,Top,1.191,0.915,270
C24,Top,0.488,0.917,90
C25,Top,0.563,0.913,180
C26,Top,0.657,0.850,0
C27,Top,1.051,0.728,90
IC1,Top,1.352,1.363,90
IC2,Top,0.928,0.544,0
IC3,Top,1.078,1.732,90
IC4,Top,0.700,1.167,0
IC5,Top,1.368,1.033,180
IC6,Top,0.543,0.760,0
J1,Top,0.659,1.821,180
Q1,Top,1.095,0.117,180
R1,Top,0.962,0.772,90
R2,Top,0.987,0.772,90
R3,Top,0.561,0.423,180
R4,Top,0.915,0.335,90
R5,Top,0.843,0.333,90
R6,Top,0.819,0.333,90
R7,Top,1.177,0.813,270
R8,Top,1.142,0.813,270
R9,Top,1.500,1.906,270
R10,Top,1.047,1.518,270
R11,Top,1.368,1.230,90
SPV,Top,1.368,0.646,180
